PMID	Title	Folder_Info	Proposedcondition	Proposed_Experiment_Name	Proposed_replica	Projec	SRA_id	FASTQ_TYPE	notes	strand
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	KO	TbRAP1_1	1	PRJNA616268	SRR11449138	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	KO	TbRAP1_1	2	PRJNA616268	SRR11449139	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	KO	TbRAP1_1	3	PRJNA616268	SRR11449140	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	Control	TbRAP1_1	1	PRJNA616268	SRR11449135	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	Control	TbRAP1_1	2	PRJNA616268	SRR11449136	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	Control	TbRAP1_1	3	PRJNA616268	SRR11449137	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	5A	TbRAP1_1	1	PRJNA616268	SRR11449141	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	5A	TbRAP1_1	2	PRJNA616268	SRR11449142	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	5A	TbRAP1_1	3	PRJNA616268	SRR11449143	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	2SD	TbRAP1_1	1	PRJNA616268	SRR11449144	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	2SD	TbRAP1_1	2	PRJNA616268	SRR11449145	PAIRED		
32948591	TbRAP1 has an unusual duplex DNA binding activity required for its telomere localization and VSG silencing	TbRAP1_1	2SD	TbRAP1_1	3	PRJNA616268	SRR11449146	PAIRED		
										
32102938	Trypanosoma brucei RAP1 Has Essential Functional Domains That Are Required for Different Protein Interactions	TbRAP1_2	dMyb	TbRAP1_2	1	PRJNA600534	SRR10871273	PAIRED		
32102938	Trypanosoma brucei RAP1 Has Essential Functional Domains That Are Required for Different Protein Interactions	TbRAP1_2	dMyb	TbRAP1_2	2	PRJNA600535	SRR10871274	PAIRED		
32102938	Trypanosoma brucei RAP1 Has Essential Functional Domains That Are Required for Different Protein Interactions	TbRAP1_2	dMyb	TbRAP1_2	3	PRJNA600536	SRR10871275	PAIRED		
32102938	Trypanosoma brucei RAP1 Has Essential Functional Domains That Are Required for Different Protein Interactions	TbRAP1_2	Control	TbRAP1_2	1	PRJNA600537	SRR10871270	PAIRED		
32102938	Trypanosoma brucei RAP1 Has Essential Functional Domains That Are Required for Different Protein Interactions	TbRAP1_2	Control	TbRAP1_2	2	PRJNA600538	SRR10871271	PAIRED		
32102938	Trypanosoma brucei RAP1 Has Essential Functional Domains That Are Required for Different Protein Interactions	TbRAP1_2	Control	TbRAP1_2	3	PRJNA600538	SRR10871272	PAIRED		
										
33660774	TbSAP is a novel chromatin protein repressing metacyclic variant surface glycoprotein expression sites in bloodstream form Trypanosoma brucei	TbSAP_1	RNAi72	TbSAP_1	1	PRJNA674063	SRR12971336	PAIRED		
33660774	TbSAP is a novel chromatin protein repressing metacyclic variant surface glycoprotein expression sites in bloodstream form Trypanosoma brucei	TbSAP_1	RNAi72	TbSAP_1	2	PRJNA674063	SRR12971337	PAIRED		
33660774	TbSAP is a novel chromatin protein repressing metacyclic variant surface glycoprotein expression sites in bloodstream form Trypanosoma brucei	TbSAP_1	RNAi72	TbSAP_1	3	PRJNA674063	SRR12971338	PAIRED		
33660774	TbSAP is a novel chromatin protein repressing metacyclic variant surface glycoprotein expression sites in bloodstream form Trypanosoma brucei	TbSAP_1	ControlUN	TbSAP_1	1	PRJNA674063	SRR12971333	PAIRED		
33660774	TbSAP is a novel chromatin protein repressing metacyclic variant surface glycoprotein expression sites in bloodstream form Trypanosoma brucei	TbSAP_1	ControlUN	TbSAP_1	2	PRJNA674063	SRR12971334	PAIRED		
33660774	TbSAP is a novel chromatin protein repressing metacyclic variant surface glycoprotein expression sites in bloodstream form Trypanosoma brucei	TbSAP_1	ControlUN	TbSAP_1	3	PRJNA674063	SRR12971335	PAIRED		
										
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX2_1	1	PRJEB21615	ERR3447773	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX2_1	2	PRJEB21615	ERR3447772	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX2_1	3	PRJEB21615	ERR3447771	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX2_1	1	PRJEB21615	ERR3447774	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX2_1	2	PRJEB21615	ERR3447775	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX2_1	3	PRJEB21615	ERR3447776	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX2_1	1	PRJEB21615	ERR3447777	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX2_1	2	PRJEB21615	ERR3447778	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX2_1	3	PRJEB21615	ERR3447779	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX2_1	1	PRJEB21615	ERR3447780	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX2_1	2	PRJEB21615	ERR3447781	PAIRED	BAMdeposited	
